Kingdom,Phylum,Class,Order,Family,Genus,Species,Taxon,Taxon rank,Revised scientific name,Division,Growth Form,Division,Growth form,In GBIF,In SA,Comments,Scientific Name and Authority
,,,,,Gomphonema,minutum,Gomphonema minutum,Species,,Bacillariophyta - diatoms,Unicellular,,,Yes,No,,
,,,,,Gomphonema,parvulum,Gomphonema parvulum,Species,,Bacillariophyta - diatoms,Unicellular,,,Yes,No,,
,,,,,Gomphonema,parvulum var. lagenula,Gomphonema parvulum var. lagenula,Species,,Bacillariophyta - diatoms,,,,Yes,No,,
,,,,,Gomphonema,pseudoaugur,Gomphonema pseudoaugur,Species,,Bacillariophyta - diatoms,,,,Yes,No,,
,,,,,Gomphonema,pumilum,Gomphonema pumilum,Species,,Bacillariophyta - diatoms,,,,Yes,No,,
,,,,,Gomphonema,truncatum,Gomphonema truncatum,Species,,Bacillariophyta - diatoms,Unicellular,,,Yes,No,,
,,,,,Gomphonema,venusta,Gomphonema venusta,Species,,Bacillariophyta - diatoms,Unicellular,,,Yes,Unknown,No coordinates in GBIF,
,,,,,Gongrosira ,,Gongrosira,Genus,,,Unicellular,,,Yes,No,,
,,,,,Gymnodinium,,Gymnodinium ,Genus,,,,,,Yes,No,,
,,,,,Gyrosigma,,Gyrosigma,Genus,,,,,,Yes,No,,
,,,,,Gyrosigma,acuminatum,Gyrosigma acuminatum,Species,,,,,,Yes,No,,
,,,,,Gyrosigma,attenuatum,Gyrosigma attenuatum,Species,,,,,,Yes,No,,
,,,,,Gyrosigma,rautenbachiae,Gyrosigma rautenbachiae,Species,,,,,,Yes,Unknown,No coordinates in GBIF,
,,,,,Gyrosigma,scalproides,Gyrosigma scalproides,Species,,,,,,Yes,No,,
,,,,,Haematococcus,,Haematococcus ,Genus,,,,,,Yes,No,,
,,,,,Hantzschia, ,Hantzschia  ,Genus,,,,,,Yes,No,,
,,,,,Hantzschia,amphioxys,Hantzschia amphioxys,Species,,,,,,Yes,No,,
,,,,,Hapalosiphon,,Hapalosiphon,Genus,,,,,,Yes,No,,
,,,,,Heteroleibleinia,,Heteroleibleinia ,Genus,,,,,,Yes,No,,
,,,,,Hippodonta,hungarica,Hippodonta hungarica,Species,,,,,,Yes,No,,
,,,,,Homoeothrix, ,Homoeothrix  ,Genus,,,,,,Yes,Unknown,No coordinates in GBIF,
,,,,,Kirchneriella,,Kirchneriella ,Genus,,,,,,Yes,No,,
,,,,,Klebsormidium,,Klebsormidium ,Genus,,,,,,Yes,Yes,,
,,,,,Kobayasiella,,Kobayasiella ,Genus,,,,,,Yes,No,,
,,,,,Kobayasiella,subtilissima,Kobayasiella subtilissima,Species,,,,,,Yes,No,,
,,,,,Lagerheimia,,Lagerheimia ,Genus,,,,,,Yes,No,,
,,,,,Lemnicola,,Lemnicola ,Genus,,,,,,Yes,No,,
,,,,,Lemnicola,hungarica,Lemnicola hungarica,Species,,,,,,Yes,No,,
,,,,,Luticola,,Luticola,Genus,,,,,,Yes,No,,
,,,,,Luticola,acidoclinata,Luticola acidoclinata,Species,,,,,,Yes,No,,
,,,,,Luticola,goeppertiana,Luticola goeppertiana,Species,,,,,,Yes,No,,
,,,,,Luticola,kotschyi,Luticola kotschyi,Species,,,,,,Yes,No,,
,,,,,Lyngbya,,Lyngbya,Genus,,,,,,Yes,Yes,,
,,,,,Melosira, ,Melosira  ,Genus,,,,,,Yes,Yes,,
,,,,,Melosira,varians,Melosira varians,Species,,,,,,Yes,No,,
,,,,,Merismopedia,,Merismopedia,Genus,,,,,,Yes,No,,
,,,,,Mesotaenium,,Mesotaenium ,Genus,,,,,,Yes,No,,
,,,,,Micractinium,,Micractinium,Genus,,,,,,Yes,No,,
,,,,,Micrasterias ,,Micrasterias  ,Genus,,,,,,Yes,No,,
,,,,,Microcystis,,Microcystis ,Genus,,,,,,Yes,No,,
,,,,,Microspora,,Microspora ,Genus,,,,,,Yes,No,,
,,,,,Monoraphidium ,,Monoraphidium  ,Genus,,,,,,Yes,No,,
,,,,,Mougeotia,,Mougeotia,Genus,,,,,,Yes,No,,
,,,,,Navicula,,Navicula,Genus,,,,,,Yes,Unknown,No coordinates in GBIF,
,,,,,Navicula,angusta,Navicula angusta,Species,,,,,,Yes,No,,
,,,,,Navicula,antonii,Navicula antonii,Species,,,,,,Yes,No,,
Chromista,Ochrophyta,Bacillariophyceae,Naviculales,Naviculaceae,Navicula,arvensis var. maior,Navicula arvensis var. maior,Species,,,,,,No,,,
,,,,,Navicula,capitatoradiata,Navicula capitatoradiata,Species,,,,,,Yes,No,,
,,,,,Navicula,cincta,Navicula cincta,Species,,,,,,Yes,No,,
,,,,,Navicula,cryptocephala,Navicula cryptocephala,Species,,,,,,Yes,No,,
,,,,,Navicula,cryptonella,Navicula cryptonella,Species,,,,,,Yes,No,,
,,,,,Navicula,cryptotenelloides,Navicula cryptotenelloides,Species,,,,,,Yes,No,,
