Taxon rank,Kingdom,Phylum,Class,Order,Family,Genus,Species,Taxon,Scientific name and authority,Common name,Origin,Endemism,Conservation status,Eco-tolerance,Former scientific name 
Species,Animalia,Chordata,Actinopterygii,Cypriniformes,Cyprinidae,Enteromius,trimaculatus,Enteromius trimaculatus,"Enteromius trimaculatus (Peters, 1852)",Threespot barb,Native,Widespread,Least concern,1,Barbus breijeri;Barbus decipiens;Barbus katangae;Barbus kurumani;Barbus trimaculatus 
Species,Animalia,Chordata,Actinopterygii,Cypriniformes,Cyprinidae,Enteromius,unitaeniatus,Enteromius unitaeniatus,"Enteromius unitaeniatus (Günther, 1866)",Longbeard barb,Native,Widespread,Least concern,1,Barbodes unitaeniatus;Barbus incomoides;Barbus inermoides;Barbus labialis;Barbus macrurus;Barbus unitaeniatus;Puntius unitaeniatus
Species,Animalia,Chordata,Actinopterygii,Cypriniformes,Cyprinidae,Enteromius,viviparus,Enteromius viviparus,"Enteromius viviparus (Weber, 1897)",Bowstripe barb,Native,Widespread,Least concern,1,Barbus viviparus;Puntius viviparus
Species,Animalia,Chordata,Actinopterygii,Osmeriformes,Galaxiidae,Galaxias,zebratus,Galaxias zebratus,"Galaxias zebratus (Castelnau, 1861)",Cape galaxias,Native,Regional endemic level 1,Data deficient ,2,Agalaxis punctifer;Agalaxis zebratus;Cobitis punctifer;Cobitis zebrata;Galaxias africanus;Galaxias capensis;Galaxias dubius;Galaxias punctifer;Paragalaxias zebratus
Species,Animalia,Chordata,Actinopterygii,Cyprinodontiformes,Poeciliidae,Gambusia,affinis,Gambusia affinis,"Gambusia affinis (Baird & Girard, 1853)",Mosquitofish,Non-native,Widespread,Least concern,1,Fundulus inurus;Gambusia gracilis;Gambusia humilis;Gambusia patruelis;Haplochilus melanops;Heterandria affinis;Heterandria patruelis;Zygonectes brachypterus;Zygonectes gracilis;Zygonectes inurus;Zygonectes patruelis
Species,Animalia,Chordata,Actinopterygii,Characiformes,Characidae,Hydrocynus,vittatus,Hydrocynus vittatus,"Hydrocynus vittatus Castelnau, 1861",Tigerfish,Native,Widespread,Least concern,1,Hydrocinus vittatus;Hydrocion lineatus;Hydrocynus lineatus;Hydrocyon lineatus;Hydrocyon vittatus
Species,Animalia,Chordata,Actinopterygii,Cypriniformes,Cyprinidae,Hypophthalmichthys,molitrix,Hypophthalmichthys molitrix,"Hypophthalmichthys molitrix (Valenciennes, 1844)",Silver carp ,Non-native,Widespread,Near threatened,1,Abramocephalus microlepis;Cephalus mantschuricus;Hypophthalmichthys dabry;Hypophthalmichthys dabryi;Hypophthalmichthys dybowskii;Hypophthalmichthys microlepis;Hypopthalmichthys molitrix;Hypothalmichthys molitrix;Hypothamicthys molitrix;Leuciscus hypophthalmus;Leuciscus molitrix;Onychodon mantschuricus
Species,Animalia,Chordata,Actinopterygii,Gonorynchiformes,Kneriidae,Kneria,auriculata,Kneria auriculata,"Kneria auriculata (Pellegrin, 1905)",Southern kneria,Non-native,Widespread,Least concern,1,Kneria articulata;Kneria autriculata;Xenopomatichthys auricularis;Xenopomatichthys auriculatus;Xenopomichthys auriculatus
Species,Animalia,Chordata,Actinopterygii,Cypriniformes,Cyprinidae,Labeo,ansorgii,Labeo ansorgii,"Labeo ansorgii Boulenger, 1907",Cunene labeo,Non-native,Widespread,Least concern,1,Labeo rocadasii
Species,Animalia,Chordata,Actinopterygii,Cypriniformes,Cyprinidae,Labeo,capensis,Labeo capensis,"Labeo capensis (Smith, 1841)",Orange River mudfish,Native,Regional endemic level 2,Least concern,1,Abrostomus capensis;Labeo tenuirostris
