RHP Site Code,Latitude,Longitude,,
C1BRAK-KAFFE,-26.90672,29.18301,,
C1EVAN-GOEDV,-26.51264,29.09306,,
C1EVAN-WINKE,-26.502,29.10489,,
C1GROO-WITKL,-26.51083,29.05731,,
C1KAAP-ROODE,-26.6035,28.99894,,
C1KLEI-UPPER,-26.91275,30.17497,,
C1KLIP-STAND,-27.17444,29.23611,,
C1KLIP-UKLIP,-27.82066,29.64955,,
C1KLIP-UPPE1,-27.36166,29.48502,,
C1KLIP-UPPER,-27.36166,29.48502,,
C1KLIP-VOLKS,-27.33694,29.60028,,
C1SKUL-UPPER,-27.03072,29.88855,,
C1TRIB-KROMD,-26.44275,29.0325,,
C1VAAL-GLAD1,-26.99086,28.72883,,
C1VAAL-GLADD,-26.99086,28.72883,,
C1VAAL-GROO2,-26.9211,29.2793,,
C1VAAL-GROOT,-26.92111,29.2793,,
C1VAAL-NEYS1,-26.84263,28.11233,,
C1VAAL-NEYS2,-26.84263,28.11233,,
C1VAAL-SCAN1,-26.93241,27.01366,,
C1VAAL-UITK1,-23.8728,29.61383,,
C1VAAL-UITKO,-26.8728,29.61383,,
C1VAAL-VILLI,-27.02361,28.59444,,
C1WATE-KLIPF,-26.45058,28.96739,,
C1WATE-ROODE,-26.62689,29.02408,,
C1WATE-SPRING,-26.53311,29.02644,,
C1WATE-UPPE1,-26.96027,28.74577,,
C1WATE-UPPER,-26.96027,28.74577,,
C2BLES-UPPE1,-26.47883,28.42505,,
C2BLES-UPPE2,-26.47883,28.42505,,
C2KLIP-SLANG,-26.54934,28.06435,,
C2KROM-AVAAL,-26.81139,27.57444,,
C2KROM-DOWNS,-26.79594,28.40672,,
C2KROM-UPPER,-26.79594,27.5655,,
C2LEEU-DAVON,-26.45475,27.60411,,
C2LEEU-SASOL,-26.80222,27.79889,,
C2LKIP-ZWART,-26.38118,28.07168,,
C2LOOP-DOORN,-26.43161,27.55266,,
C2LOOP-KLIPD,-26.61897,27.29742,,
C2LOOP-KOKOS,-26.49983,27.45889,,
C2LOOP-WELTE,-26.47942,27.53894,,
C2MOOI-KLERK,-26.25864,27.15967,,
C2MOOI-MEULS,-26.68211,27.09822,,
C2MOOI-MOOIR,-26.7045,27.10633,,
C2MOOI-OUDED,-26.57219,27.10311,,
C2MOOI-POTC1,-26.70435,27.10625,,
C2MOOI-ROOID,-26.36003,27.139,,
C2MOOI-RYSMI,-26.51453,27.12444,,
C2OOGG-OOGGE,-26.47922,27.15164,,
C2RIET-RIETS,-26.42917,28.16061,,
C2SKOO-ELAND,-26.37111,26.78606,,
C2SKOO-GHOLF,-26.32598,26.82864,,
C2SKOO-HARTB,-26.67483,26.58461,,
C2SKOO-RIETS,-26.42688,26.73594,,
C2SKOO-STERK,-26.46352,26.67435,,
C2SKOO-URANI,-26.93449,26.66427,,
